method,version,n,d,noise_sd,mae,rmse
ols,complex,200,2,0.1,0.6258123262639379,0.7825331419056852
ols,complex,200,2,1,0.7620585231765753,0.9778826918039616
ols,complex,200,5,0.1,0.6617099479303233,0.8320041949301259
ols,complex,200,5,1,0.9548210271750336,1.2122537298421439
ols,complex,200,10,0.1,0.7047531394624267,0.8800887557724629
ols,complex,200,10,1,1.1606491777346586,1.4602452971631774
ols,complex,500,2,0.1,0.5975552247908147,0.7388171803783896
ols,complex,500,2,1,0.654838188880416,0.832695274523571
ols,complex,500,5,0.1,0.6183254275481315,0.7640075292853332
ols,complex,500,5,1,0.738562286581104,0.9298831753019161
ols,complex,500,10,0.1,0.6424059454907898,0.80200293329726835
ols,complex,500,10,1,0.8567889459474447,1.0781966766443198
ols,complex,1000,2,0.1,0.5927620920191546,0.7241614339605883
ols,complex,1000,2,1,0.6206423299639627,0.77518073386705
ols,complex,1000,5,0.1,0.6015024081601915,0.7366365601815803
ols,complex,1000,5,1,0.6781825568169519,0.8496289322649875
ols,complex,1000,10,0.1,0.6204333997524286,0.7602162396253703
ols,complex,1000,10,1,0.7382432837418577,0.9214752864187383
ols,simple,100,2,0.1,0.2539142490281953,0.34701865306698615
ols,simple,100,2,1,0.6972409962218373,0.9172751347778189
ols,simple,100,5,0.1,1.3084167651215262,1.7078534155267444
ols,simple,100,5,1,1.657194912281106,2.138778620018062
ols,simple,100,10,0.1,2.9547488740566794,3.705120289934923
ols,simple,100,10,1,3.139450082548862,3.936249715711943
ols,simple,200,2,0.1,0.170055897445906,0.23558570016866723
ols,simple,200,2,1,0.4796425694255045,0.6286687875986056
ols,simple,200,5,0.1,0.8959115021855741,1.1684454447274242
ols,simple,200,5,1,1.1397997372187563,1.4785220248040274
ols,simple,200,10,0.1,2.9609101221288503,3.7878769168203035
ols,simple,200,10,1,3.109893977098936,3.9719117727347664
ols,simple,500,2,0.1,0.11102821758656589,0.15340735746708214
ols,simple,500,2,1,0.3181377832781231,0.41305236207486495
ols,simple,500,5,0.1,0.5960367177081222,0.781031196674764
ols,simple,500,5,1,0.7430382186223933,0.9629260539988767
ols,simple,500,10,0.1,2.2451304587604093,2.9014775318534998
ols,simple,500,10,1,2.324592269427147,2.9964112972519144
ols,simple,1000,2,0.1,0.0838321151637743,0.11562549349858123
ols,simple,1000,2,1,0.23319735770636263,0.3006859658526705
ols,simple,1000,5,0.1,0.47472876325298186,0.6289267747090932
ols,simple,1000,5,1,0.5819064163490639,0.7589929939767246
ols,simple,1000,10,0.1,1.6360314794074353,2.1154030198623217
ols,simple,1000,10,1,1.7056198544131111,2.200350828576239
knn,complex,100,2,0.1,0.2761414245978279,0.3875531498466553
knn,complex,100,2,1,0.5964890316090473,0.7403177317804218
knn,complex,100,5,0.1,0.7848980616286945,0.9465898343277431
knn,complex,100,5,1,0.9259293357596433,1.1399147399510645
knn,complex,100,10,0.1,1.0558160020374003,1.2050119284669745
knn,complex,100,10,1,1.1339660692922393,1.3554260860015492
knn,complex,200,2,0.1,0.23832466686659917,0.327440366086667
knn,complex,200,2,1,0.44260201445078995,0.5498180181202633
knn,complex,200,5,0.1,0.7583889352409257,0.8850756820858859
knn,complex,200,5,1,0.8174916813388224,0.9877675204398247
knn,complex,200,10,0.1,1.0409364089440551,1.153192181609757
knn,complex,200,10,1,1.064341100211955,1.2274985198925161
knn,complex,500,2,0.1,0.21033621831288588,0.28244769476266135
knn,complex,500,2,1,0.3160641805500433,0.3970168002118707
knn,complex,500,5,0.1,0.7319205593201922,0.8350260690840069
knn,complex,500,5,1,0.7504175084831793,0.8797415230033874
knn,complex,500,10,0.1,1.021098046471298,1.1101339913783212
knn,complex,500,10,1,1.026534480424416,1.1422582363475884
