method,version,n,d,noise_sd,mae,rmse
knn,simple,100,5,1,0.802963025074738,1.0296948121003455
knn,simple,100,10,1,0.8493945080516319,1.3378086992304778
knn,simple,200,2,1,0.4339130060196649,0.5403984338245555
knn,simple,200,5,1,0.5568285337675835,0.7132717814538401
knn,simple,200,10,1,0.6493264500356163,0.9604672552573086
knn,simple,500,2,1,0.26856533401181437,0.33475025094901145
knn,simple,500,5,1,0.3583342812597847,0.4537266387937794
knn,simple,500,10,1,0.44254354158830495,0.6420598546107337
knn,simple,1000,2,1,0.18913832798061198,0.23453520244987125
knn,simple,1000,5,1,0.24938930326910436,0.3171273264383063
knn,simple,1000,10,1,0.31710249501747334,0.43007175460961944
trf,complex,100,2,1,0.5725614548622988,0.6957914324832691
trf,complex,100,5,1,0.8187905388965411,0.940804379785095
trf,complex,100,10,1,1.028012190549041,1.1467811515302997
trf,complex,200,2,1,0.41420456111444115,0.5063218143512019
trf,complex,200,5,1,0.4966897056476346,0.5921049886924591
trf,complex,200,10,1,0.6499960300312722,0.7501889824608573
trf,complex,500,2,1,0.34487218678472253,0.42851745500722516
trf,complex,500,5,1,0.3067697720856103,0.38062215310623165
trf,complex,500,10,1,0.31402715400540104,0.3862543618788845
trf,complex,1000,2,1,0.31111162315199803,0.3886670375262316
trf,complex,1000,5,1,0.2617496764544169,0.3301641512711701
trf,complex,1000,10,1,0.257197530597511,0.3178903481553859
trf,simple,100,2,1,0.4572289248079001,0.5646892673817898
trf,simple,100,5,1,0.5433329741167285,0.6924385727108179
trf,simple,100,10,1,0.7346016712108414,0.9595428850976903
trf,simple,200,2,1,0.4182595064731348,0.5263586822936062
trf,simple,200,5,1,0.5124575919364204,0.6751551362588903
trf,simple,200,10,1,0.6611459185507675,0.9365961755534135
trf,simple,500,2,1,0.3691554600564098,0.46174977603505546
trf,simple,500,5,1,0.449436102731309,0.6010084964347283
trf,simple,500,10,1,0.6061800600862416,0.9253464872697307
trf,simple,1000,2,1,0.33463588180103615,0.4192618371545619
trf,simple,1000,5,1,0.4047941433299239,0.5541591494982278
trf,simple,1000,10,1,0.5201660832685117,0.8102986402832658
grf,complex,100,2,1,0.6314864996639932,0.7375398661754592
grf,complex,100,5,1,0.8759085857222286,0.978211639398667
grf,complex,100,10,1,0.9175615552919671,1.0203676022718409
grf,complex,200,2,1,0.4126134178598305,0.486171393995204
grf,complex,200,5,1,0.5170093727443188,0.5918895279532972
grf,complex,200,10,1,0.5186331518185728,0.599584889752411
grf,complex,500,2,1,0.2893149069570766,0.35006136724810283
grf,complex,500,5,1,0.33281247685246995,0.3895900877689264
grf,complex,500,10,1,0.3521526447121685,0.40943008292150257
grf,complex,1000,2,1,0.20414455122699834,0.2534250309158951
grf,complex,1000,5,1,0.24406735496737372,0.2966026802257693
grf,complex,1000,10,1,0.27305388393201524,0.31777047362584476
grf,simple,100,2,1,0.2670413596175709,0.2968152952580572
grf,simple,100,5,1,0.3676706078177764,0.4239616243423653
grf,simple,100,10,1,0.6303398899495949,0.6648508866286149
