method,version,n,d,noise_sd,mae,rmse
rf,boundary,100,5,1,1.6382613260426184,1.9604005015490529
rf,boundary,100,10,0.1,1.4133769628887514,1.6060217975086726
rf,boundary,100,10,1,1.5527777295963794,1.8710573817475074
rf,boundary,200,2,0.1,0.8243537152862512,0.9703988771817101
rf,boundary,200,2,1,1.1128080559850426,1.3830527890490383
rf,boundary,200,5,0.1,1.3893210948185613,1.5718634237434561
rf,boundary,200,5,1,1.5006956947903147,1.8118616473541822
rf,boundary,200,10,0.1,1.244107156366396,1.420771843085235
rf,boundary,200,10,1,1.401184377642,1.7016160549189965
rf,boundary,500,2,0.1,0.6192607167637637,0.7504747547221122
rf,boundary,500,2,1,0.9943791463107261,1.2444516655905542
rf,boundary,500,5,0.1,1.2102370281785653,1.3763733958822526
rf,boundary,500,5,1,1.3522509524725566,1.6492383773968737
rf,boundary,500,10,0.1,1.0357711298264978,1.1952148381956251
rf,boundary,500,10,1,1.227032268119647,1.5088703371858958
rf,boundary,1000,2,0.1,0.48786424654265187,0.6078396686592453
rf,boundary,1000,2,1,0.9448482269556778,1.1829539867549828
rf,boundary,1000,5,0.1,1.068964073066939,1.2251136803951665
rf,boundary,1000,5,1,1.2322104670724867,1.5165650787969442
rf,boundary,1000,10,0.1,0.886156463519093,1.0346055270437273
rf,boundary,1000,10,1,1.1322620330393687,1.4004281732562056
grf,boundary,100,2,0.1,1.0664985336890271,1.236865626882933
grf,boundary,100,2,1,1.4120943688604197,1.7081162545015462
grf,boundary,100,5,0.1,1.2747019989119706,1.4540139198913722
grf,boundary,100,5,1,1.594087996042031,1.9078649825881213
grf,boundary,100,10,0.1,1.3856247562068933,1.5763683231624261
grf,boundary,100,10,1,1.667917392100275,1.9958522746205742
grf,boundary,200,2,0.1,0.9407683258719275,1.0983951587199177
grf,boundary,200,2,1,1.298977709571237,1.5847059881891536
grf,boundary,200,5,0.1,1.1109244154204858,1.2783143007162503
grf,boundary,200,5,1,1.4493551392810344,1.748880985775368
grf,boundary,200,10,0.1,1.167786917177476,1.3436529599174438
grf,boundary,200,10,1,1.5123850561893881,1.823450972453504
grf,boundary,500,2,0.1,0.755441473866406,0.902097000234462
grf,boundary,500,2,1,1.1385528355268622,1.4097147226307447
grf,boundary,500,5,0.1,0.8678935283331658,1.0186082421386382
grf,boundary,500,5,1,1.2840564645974992,1.568937682829422
grf,boundary,500,10,0.1,0.8908244131714249,1.047317510750327
grf,boundary,500,10,1,1.2961758184773624,1.5907048740260366
grf,boundary,1000,2,0.1,0.613305774298147,0.7493283495410015
grf,boundary,1000,2,1,1.0300996388174188,1.2875246873880466
grf,boundary,1000,5,0.1,0.6860978756937336,0.8220641908315311
grf,boundary,1000,5,1,1.1417153590098204,1.411834358177299
grf,boundary,1000,10,0.1,0.7062057047630752,0.8477844037357826
grf,boundary,1000,10,1,1.173129836870642,1.4525917484418749
llf,boundary,100,2,0.1,0.2973927629574967,0.36992589063063946
llf,boundary,100,2,1,1.019619586016818,1.2668084803560264
llf,boundary,100,5,0.1,0.37397462544118654,0.4618745050881195
llf,boundary,100,5,1,1.0763056860297138,1.34106004538473
llf,boundary,100,10,0.1,0.3996925773603245,0.49202616683584255
llf,boundary,100,10,1,1.1519240940014133,1.4271724028609918
llf,boundary,200,2,0.1,0.228453566729927,0.28453834306792924
llf,boundary,200,2,1,0.9489872577271482,1.1823269580207865
llf,boundary,200,5,0.1,0.32707329775067967,0.4034531236597743
llf,boundary,200,5,1,0.9881170165678861,1.2392136014818496
llf,boundary,200,10,0.1,0.3634434196640543,0.4446177979465604
llf,boundary,200,10,1,1.077252744147024,1.3410789021310512
llf,boundary,500,2,0.1,0.15641369120200746,0.19675852151832457
llf,boundary,500,2,1,0.8960242424467835,1.1180982012823408
llf,boundary,500,5,0.1,0.26074223780021427,0.3226585664846441
llf,boundary,500,5,1,0.930896972827371,1.1725540306359254
llf,boundary,500,10,0.1,0.30048566610098515,0.3688726666931405
llf,boundary,500,10,1,0.9955041186399627,1.2448917069638437
llf,boundary,1000,2,0.1,0.12408434589961591,0.1575001330831465
llf,boundary,1000,2,1,0.867597055153833,1.0830450359822488
llf,boundary,1000,5,0.1,0.21131773444690985,0.2627510407644245
llf,boundary,1000,5,1,0.8874881075638595,1.11932026218042
llf,boundary,1000,10,0.1,0.2508017163683859,0.3078346437185227
llf,boundary,1000,10,1,0.9641391351550948,1.2066430803672754
